"","analysis_id","analysis_name","project_id","project_name","fishery_name","angler_type_name","species_name","life_stage_name","catch_area_code","fate_name","fin_mark_desc","section_num","min_event_date","max_event_date","period","day_type","model_type","estimate_type","estimate_value","data_grade","estimate_category","period_timestep"
"1","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","number_observations",1,NA,"catch","week"
"2","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","catch_estimate_mean",0,NA,"catch","week"
"3","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","catch_estimate_variance",0,NA,"catch","week"
"4","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","total_days_open",3,NA,"catch","week"
"5","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","degrees_freedom",39,NA,"catch","week"
"6","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-01,2022-07-03,26,"weekend","PE","estimate_stratum",0,NA,"catch","week"
"7","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-04,2022-07-10,27,"weekday","PE","number_observations",2,NA,"catch","week"
"8","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-04,2022-07-10,27,"weekday","PE","catch_estimate_mean",0,NA,"catch","week"
"9","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-04,2022-07-10,27,"weekday","PE","catch_estimate_variance",0,NA,"catch","week"
"10","0d3de616-c2a2-46a4-9d41-2c7b77000a27","Nisqually salmon 2022_provisional_2026-03-16T18:02:48Z","4df064ee-7829-48b4-8e44-5fcca29b126b","District 11","Nisqually salmon 2022","Bank Anglers","Chinook","Jack","786","Kept","Adclip clip + No other external marks",1,2022-07-04,2022-07-10,27,"weekday","PE","total_days_open",3,NA,"catch","week"
